"Strip_ID","Start_VO_ID","End_VO_ID","Life_Phase","Duration_Sec","Scene_Type"
"PV_0008_001","1","1","HOOK","7.4","NARRATIVE_SCENE"
"PV_0008_002","2","2","HOOK","4.6","NARRATIVE_SCENE"
"PV_0008_003","2","2","HOOK","4.7","EMOTIONAL_CLOSEUP"
"PV_0008_004","3","3","HOOK","6.2","TEXT_OVERLAY"
"PV_0008_005","4","4","PHASE_EARLY","2.4","NARRATIVE_SCENE"
"PV_0008_006","5","5","PHASE_EARLY","5.6","NARRATIVE_SCENE"
"PV_0008_007","5","5","PHASE_EARLY","5.5","EMOTIONAL_CLOSEUP"
"PV_0008_008","6","6","PHASE_EARLY","7","NARRATIVE_SCENE"
"PV_0008_009","7","7","PHASE_EARLY","4.8","NARRATIVE_SCENE"
"PV_0008_010","7","7","PHASE_EARLY","4.9","EMOTIONAL_CLOSEUP"
"PV_0008_011","8","8","PHASE_EARLY","4.6","NARRATIVE_SCENE"
"PV_0008_012","8","8","PHASE_EARLY","4.6","EMOTIONAL_CLOSEUP"
"PV_0008_013","9","9","PHASE_EARLY","7.9","NARRATIVE_SCENE"
"PV_0008_014","10","10","PHASE_EARLY","5.6","NARRATIVE_SCENE"
"PV_0008_015","10","10","PHASE_EARLY","5.5","EMOTIONAL_CLOSEUP"
"PV_0008_016","11","11","PHASE_EARLY","4.3","TEXT_OVERLAY"
"PV_0008_017","12","12","PHASE_EARLY","5.8","NARRATIVE_SCENE"
"PV_0008_018","12","12","PHASE_EARLY","5.8","EMOTIONAL_CLOSEUP"
"PV_0008_019","13","13","PHASE_EARLY","5.8","NARRATIVE_SCENE"
"PV_0008_020","13","13","PHASE_EARLY","5.8","EMOTIONAL_CLOSEUP"
"PV_0008_021","14","14","PHASE_EARLY","6.6","TEXT_OVERLAY"
"PV_0008_022","15","15","PHASE_CONFLICT","4.8","NARRATIVE_SCENE"
"PV_0008_023","15","15","PHASE_CONFLICT","4.9","EMOTIONAL_CLOSEUP"
"PV_0008_024","16","16","PHASE_CONFLICT","5.6","NARRATIVE_SCENE"
"PV_0008_025","16","16","PHASE_CONFLICT","5.5","EMOTIONAL_CLOSEUP"
"PV_0008_026","17","17","PHASE_CONFLICT","8.3","NARRATIVE_SCENE"
"PV_0008_027","18","18","PHASE_CONFLICT","4.6","NARRATIVE_SCENE"
"PV_0008_028","18","18","PHASE_CONFLICT","4.6","EMOTIONAL_CLOSEUP"
"PV_0008_029","19","19","PHASE_CONFLICT","4.6","NARRATIVE_SCENE"
"PV_0008_030","19","19","PHASE_CONFLICT","4.7","EMOTIONAL_CLOSEUP"
"PV_0008_031","20","20","PHASE_CONFLICT","6.7","NARRATIVE_SCENE"
"PV_0008_032","20","20","PHASE_CONFLICT","6.7","EMOTIONAL_CLOSEUP"
"PV_0008_033","21","21","PHASE_CONFLICT","8.5","TEXT_OVERLAY"
"PV_0008_034","22","22","PHASE_CRISIS","4.8","NARRATIVE_SCENE"
"PV_0008_035","22","22","PHASE_CRISIS","4.9","EMOTIONAL_CLOSEUP"
"PV_0008_036","23","23","PHASE_CRISIS","6.4","NARRATIVE_SCENE"
"PV_0008_037","23","23","PHASE_CRISIS","6.5","EMOTIONAL_CLOSEUP"
"PV_0008_038","24","24","PHASE_CRISIS","4.8","NARRATIVE_SCENE"
"PV_0008_039","24","24","PHASE_CRISIS","4.9","EMOTIONAL_CLOSEUP"
"PV_0008_040","25","25","PHASE_CRISIS","5.7","TEXT_OVERLAY"
"PV_0008_041","26","26","PHASE_CRISIS_PEAK","6.5","EMOTIONAL_CLOSEUP"
"PV_0008_042","27","27","PHASE_CRISIS_PEAK","7","NARRATIVE_SCENE"
"PV_0008_043","27","27","PHASE_CRISIS_PEAK","6.9","EMOTIONAL_CLOSEUP"
"PV_0008_044","28","28","PHASE_CRISIS_PEAK","4.6","NARRATIVE_SCENE"
"PV_0008_045","28","28","PHASE_CRISIS_PEAK","4.6","EMOTIONAL_CLOSEUP"
"PV_0008_046","29","29","PHASE_CRISIS_PEAK","5.4","NARRATIVE_SCENE"
"PV_0008_047","29","29","PHASE_CRISIS_PEAK","5.3","EMOTIONAL_CLOSEUP"
"PV_0008_048","30","30","PHASE_CRISIS_PEAK","5.6","NARRATIVE_SCENE"
"PV_0008_049","30","30","PHASE_CRISIS_PEAK","5.5","EMOTIONAL_CLOSEUP"
"PV_0008_050","31","31","PHASE_CRISIS_PEAK","4.8","NARRATIVE_SCENE"
"PV_0008_051","31","31","PHASE_CRISIS_PEAK","4.9","EMOTIONAL_CLOSEUP"
"PV_0008_052","32","32","PHASE_CRISIS_PEAK","5.1","NARRATIVE_SCENE"
"PV_0008_053","32","32","PHASE_CRISIS_PEAK","5.1","EMOTIONAL_CLOSEUP"
"PV_0008_054","33","33","PHASE_CRISIS_PEAK","7.8","EMOTIONAL_CLOSEUP"
"PV_0008_055","34","34","PHASE_CRISIS_PEAK","8.3","EMOTIONAL_CLOSEUP"
"PV_0008_056","35","35","PHASE_CRISIS_PEAK","5.1","NARRATIVE_SCENE"
