VO_ID,Episode_ID,Beat_ID,Life_Phase,Beat_Type,VO_Type,VO_EN,Word_Count_EN,Pause_After
1,PV_0027,BEAT_01_01,HOOK,ESTABLISH,WEIGHT_LINE,"You don't arrest people.",5,0.5
2,PV_0027,BEAT_01_01,HOOK,ESTABLISH,WEIGHT_LINE,"You collect them.",3,2.0
3,PV_0027,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"Right now there are fourteen names on your phone.",9,0.5
4,PV_0027,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"Six of them exist on paper. The department knows about those.",10,0.5
5,PV_0027,BEAT_01_02,HOOK,ESTABLISH,WEIGHT_LINE,"The rest don't exist at all.",6,1.5
6,PV_0027,BEAT_01_03,HOOK,ESTABLISH,NARRATION,"Same charge. Different outcome.",4,0.5
7,PV_0027,BEAT_01_03,HOOK,ESTABLISH,WEIGHT_LINE,"Your choice.",2,2.0
8,PV_0027,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"They teach you about confidential informants in the academy.",9,0.5
9,PV_0027,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"There's a whole briefing on it. PowerPoint slides. Protocol charts on the wall.",13,0.5
10,PV_0027,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"The instructor calls them assets.",5,0.5
11,PV_0027,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Asset management. Asset deployment. Asset protection.",6,0.5
12,PV_0027,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You write it down like it's a vocabulary test.",9,0.5
13,PV_0027,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"It sounds clean. Organized.",4,0.5
14,PV_0027,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Nobody mentions the word people.",5,1.0
15,PV_0027,BEAT_02_02,PHASE_EARLY,TIME_MARKER,NARRATION,"First patrol.",2,0.5
16,PV_0027,BEAT_02_02,PHASE_EARLY,TIME_MARKER,NARRATION,"You arrest a guy with half a gram tucked in his coat lining.",12,0.5
17,PV_0027,BEAT_02_02,PHASE_EARLY,TIME_MARKER,NARRATION,"Book him. Process him. Photograph him. File the report.",9,0.5
18,PV_0027,BEAT_02_02,PHASE_EARLY,TIME_MARKER,NARRATION,"Takes you an hour and a half for the paperwork alone.",10,0.5
19,PV_0027,BEAT_02_02,PHASE_EARLY,TIME_MARKER,NARRATION,"By the time you finish, the shift's almost over.",8,0.5
20,PV_0027,BEAT_02_02,PHASE_EARLY,TIME_MARKER,NARRATION,"Your sergeant looks at the whiteboard.",6,0.5
21,PV_0027,BEAT_02_02,PHASE_EARLY,TIME_MARKER,NARRATION,"One arrest.",2,0.5
22,PV_0027,BEAT_02_02,PHASE_EARLY,TIME_MARKER,NARRATION,"He doesn't say anything. Doesn't even look at you.",8,0.5
23,PV_0027,BEAT_02_02,PHASE_EARLY,TIME_MARKER,WEIGHT_LINE,"But you hear it.",4,1.0
24,PV_0027,BEAT_02_03,PHASE_EARLY,CONSTRAINT,NARRATION,"A detective pulls you aside after the next shift.",8,0.5
25,PV_0027,BEAT_02_03,PHASE_EARLY,CONSTRAINT,NARRATION,"Senior guy. Fifteen years in narcotics. Jacket so wrinkled it looks like he slept in it.",14,0.5
26,PV_0027,BEAT_02_03,PHASE_EARLY,CONSTRAINT,NARRATION,"He walks you to the parking garage. Doesn't say why.",9,0.5
27,PV_0027,BEAT_02_03,PHASE_EARLY,CONSTRAINT,NARRATION,"Then he reaches into his jacket and pulls out a phone.",10,0.5
28,PV_0027,BEAT_02_03,PHASE_EARLY,CONSTRAINT,NARRATION,"Not the department phone. A different one.",6,0.5
29,PV_0027,BEAT_02_03,PHASE_EARLY,CONSTRAINT,NARRATION,"Prepaid. No case number. No serial log. No chain of custody.",10,0.5
30,PV_0027,BEAT_02_03,PHASE_EARLY,CONSTRAINT,NARRATION,"He flips it open. Contacts list. Just numbers. No names.",9,0.5
31,PV_0027,BEAT_02_03,PHASE_EARLY,CONSTRAINT,WEIGHT_LINE,"This is how you get numbers.",6,0.5
32,PV_0027,BEAT_02_03,PHASE_EARLY,CONSTRAINT,NARRATION,"He says it the way someone explains where the supply closet is.",11,1.5
33,PV_0027,BEAT_02_04,PHASE_EARLY,REFLECT,NARRATION,"You watch him do it for the first time.",8,0.5
34,PV_0027,BEAT_02_04,PHASE_EARLY,REFLECT,NARRATION,"Booking room. Fluorescent light buzzing so loud you can hear it through the wall.",13,0.5
35,PV_0027,BEAT_02_04,PHASE_EARLY,REFLECT,NARRATION,"Kid in the chair. Can't be more than nineteen.",8,0.5
36,PV_0027,BEAT_02_04,PHASE_EARLY,REFLECT,NARRATION,"He's crying. Not loud. Just leaking.",6,0.5
37,PV_0027,BEAT_02_04,PHASE_EARLY,REFLECT,NARRATION,"The detective doesn't comfort him. Doesn't sit down. Doesn't hesitate.",9,0.5
38,PV_0027,BEAT_02_04,PHASE_EARLY,REFLECT,NARRATION,"He slides a charge sheet across the table and says three words.",11,0.5
39,PV_0027,BEAT_02_04,PHASE_EARLY,REFLECT,WEIGHT_LINE,"Work this off.",3,1.0
40,PV_0027,BEAT_02_04,PHASE_EARLY,REFLECT,NARRATION,"The kid nods. Doesn't look up. Just nods.",7,0.5
41,PV_0027,BEAT_02_04,PHASE_EARLY,REFLECT,NARRATION,"The detective turns to you afterward.",6,0.5
42,PV_0027,BEAT_02_04,PHASE_EARLY,REFLECT,NARRATION,"He doesn't explain anything. Doesn't need to.",7,0.5
43,PV_0027,BEAT_02_04,PHASE_EARLY,REFLECT,NARRATION,"You already understood.",3,1.5
44,PV_0027,BEAT_03_01,PHASE_CONFLICT,CONFLICT,NARRATION,"Your turn.",2,1.0
45,PV_0027,BEAT_03_01,PHASE_CONFLICT,CONFLICT,NARRATION,"Same booking room. Same chair. Same fluorescent buzz.",8,0.5
46,PV_0027,BEAT_03_01,PHASE_CONFLICT,CONFLICT,NARRATION,"This one won't look at you. Stares at the table like there's something written on it.",14,0.5
47,PV_0027,BEAT_03_01,PHASE_CONFLICT,CONFLICT,NARRATION,"There isn't.",2,0.5
48,PV_0027,BEAT_03_01,PHASE_CONFLICT,CONFLICT,NARRATION,"Hands shaking.",2,0.5
49,PV_0027,BEAT_03_01,PHASE_CONFLICT,CONFLICT,NARRATION,"Keeps asking if this clears it. If this is all they have to do.",12,0.5
50,PV_0027,BEAT_03_01,PHASE_CONFLICT,CONFLICT,NARRATION,"You don't answer that part.",5,1.0
51,PV_0027,BEAT_03_02,PHASE_CONFLICT,CONFLICT,NARRATION,"Work this off or do the time. That's the pitch.",9,0.5
52,PV_0027,BEAT_03_02,PHASE_CONFLICT,CONFLICT,NARRATION,"You explain what it means. Carefully. Slowly, like it matters that they understand.",12,0.5
53,PV_0027,BEAT_03_02,PHASE_CONFLICT,CONFLICT,NARRATION,"One buy. That's it. One buy and the charge disappears.",10,0.5
54,PV_0027,BEAT_03_02,PHASE_CONFLICT,CONFLICT,NARRATION,"They stop shaking. Just for a second.",6,0.5
55,PV_0027,BEAT_03_02,PHASE_CONFLICT,CONFLICT,NARRATION,"You mean it when you say that.",6,0.5
56,PV_0027,BEAT_03_02,PHASE_CONFLICT,CONFLICT,WEIGHT_LINE,"You actually mean it.",4,1.0
57,PV_0027,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,"You send them in the next day.",6,0.5
58,PV_0027,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,"No wire. No body recorder. No training session beforehand.",8,0.5
59,PV_0027,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,"No extraction plan.",3,0.5
60,PV_0027,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,"Nobody back at the precinct even knows this is happening.",10,0.5
61,PV_0027,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,"They walk toward the house alone. You watch from the parking lot.",11,0.5
62,PV_0027,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,"Engine running. Phone in your hand. The dashboard clock reads nine fourteen.",11,0.5
