"Clip_ID","Source_Strip","Start_VO_ID","End_VO_ID","Duration_Sec","Camera_Movement","Animation_Note","Veo_Prompt"
"PV_0006_C001","PV_0006_001","1","1","6.5","PUSH_IN","Hands remain still  -  slight weight shift on feet","POV from standing position in underground military operations room, tactical screens glowing blue on concrete walls. Camera: Slow, gentle zoom in toward briefing table, 10% zoom over full duration. Hands remain still at frame corners with slight weight shift. Minimalist stickman animation, flat illustration style, detailed painted background. Duration: 6.5 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C002","PV_0006_002","2","2","6.5","SLOW_ZOOM_IN","Stickman stands motionless at table end  -  slight head turn toward empty chairs","Stickman in military uniform with medals standing at briefing table, two empty chairs with folded uniforms visible. Camera: Slow, gentle zoom in toward subject, 10% zoom over full duration. Stickman stands motionless with slight head turn. Minimalist stickman animation, flat illustration style, underground bunker background. Duration: 6.5 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C003","PV_0006_003","3","3","6.5","SLOW_ZOOM_IN","No character movement  -  focus on empty chair with folded uniform","Empty ornate chair with folded military uniform and medals pinned to fabric, framed silhouette portrait behind. Camera: Slow, gentle zoom in toward chair, 10% zoom over full duration. No movement  -  still life composition. Minimalist stickman animation, flat illustration style, dim mourning room background. Duration: 6.5 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C004","PV_0006_004","4","4","13.0","SLOW_PAN_RIGHT","No character movement  -  camera pans across two empty chairs and coffee cups","Two empty chairs at briefing table with folded uniforms draped over armrests, medals pinned, untouched coffee cups on steel surface. Camera: Slow horizontal pan right across both chairs, steady pace. No movement  -  abandoned still life. Minimalist stickman animation, flat illustration style, underground bunker background. Duration: 13.0 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C005","PV_0006_005","5","5","5.1","SLOW_ZOOM_IN","Stickman stands in doorway  -  micro breathing movement","Elderly stickman in military uniform standing in bunker doorway, silhouetted against fluorescent interior light. Camera: Slow, gentle zoom in toward figure in doorway, 10% zoom over full duration. Stickman breathes slightly  -  otherwise still. Minimalist stickman animation, flat illustration style, concrete corridor background. Duration: 5.1 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C006","PV_0006_006","6","6","14.8","SLOW_ZOOM_IN","Stickman extends two fingers to touch chair backrest  -  deliberate slow gesture","Stickman in military uniform standing beside high-backed chair, extending two fingers to touch chair backrest gently. Camera: Slow, gentle zoom in toward hand and chair detail, 10% zoom over full duration. Stickman slowly extends hand to touch chair  -  deliberate slow motion. Minimalist stickman animation, flat illustration style, operations room background. Duration: 14.8 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C007","PV_0006_007","7","7","6.9","SLOW_ZOOM_IN","No character movement  -  still composition of Red Notice on corkboard","Red-bordered notice document pinned to corkboard with photograph shape, world map with dot markers on adjacent wall. Camera: Slow, gentle zoom in toward notice document, 10% zoom over full duration. No movement  -  documentary still life. Minimalist stickman animation, flat illustration style, dim intelligence office background. Duration: 6.9 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C008","PV_0006_008","8","8","5.3","STATIC","Text fades in  -  static","Bold white text on dark military-green background. Fixed camera, no movement. Text fades in line by line  -  otherwise static. Minimalist typography animation. Duration: 5.3 seconds. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C009","PV_0006_009","9","9","7.9","STATIC","Left panel fades, right panel fades in  -  crossfade transition","Two-panel layout: child stickman in southern city (left) crossfading to young recruit stickman at military gate (right). Fixed camera, no movement. Left panel fades, right panel fades in  -  crossfade transition. Minimalist stickman animation, flat illustration style. Duration: 7.9 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
"PV_0006_C010","PV_0006_010","10","10","13.9","SLOW_ZOOM_IN","Stickman breathes slightly  -  micro-movement  -  otherwise still","Young stickman in uniform standing rigid, mother figure receding in background. Camera: Slow, gentle zoom in toward subject, 10% zoom over full duration. Stickman breathes slightly  -  otherwise still. Warm amber glow at edges. Minimalist stickman animation, flat illustration style. Duration: 13.9 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no camera shake, no rapid movement"
