VO_ID,Episode_ID,Beat_ID,Life_Phase,Beat_Type,VO_Type,VO_EN,VO_JA,VO_VI,Word_Count_EN,Pause_After
1,PV_0001,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"The day you're born, they bring you home to the top floor of a tower in Manhattan.","あなたが生まれた日、マンハッタンのタワーの最上階に連れて帰られる。","Ngày bạn chào đời, họ đưa bạn về tầng thượng của một toà tháp ở Manhattan.",16,0
2,PV_0001,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"The entire floor is yours.","そのフロア全体が、あなたのものだ。","Cả tầng là của bạn.",5,0.5
3,PV_0001,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"One day old  -  and you already have more space than most people ever will.","生後一日で、ほとんどの人が一生持てない広さを持っている。","Mới một ngày tuổi  -  và bạn đã có nhiều không gian hơn hầu hết mọi người cả đời.",14,0.5
4,PV_0001,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"There are men in dark suits outside the door.","ドアの外に黒いスーツの男たちがいる。","Có những người mặc vest đen đứng ngoài cửa.",8,0
5,PV_0001,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You can hear a radio crackle through the wall sometimes.","時々、壁越しに無線のノイズが聞こえる。","Thỉnh thoảng bạn nghe tiếng bộ đàm xè xè xuyên qua tường.",10,0.3
6,PV_0001,BEAT_01_01,HOOK,ESTABLISH,WEIGHT_LINE,"They always will be.","彼らはずっとそこにいる。","Họ sẽ luôn ở đó.",5,1.5
7,PV_0001,BEAT_01_02,HOOK,PRIVILEGE,NARRATION,"Your name shows up in newspapers before you can even say it.","あなたの名前は、言えるようになる前に新聞に載る。","Tên bạn lên báo trước khi bạn biết đọc nó.",12,0
8,PV_0001,BEAT_01_02,HOOK,PRIVILEGE,NARRATION,"Cameras are already pointed at the building where you sleep.","カメラはすでに、あなたが眠るビルに向けられている。","Máy quay đã chĩa vào toà nhà nơi bạn ngủ.",9,0.5
9,PV_0001,BEAT_01_03,HOOK,CONSTRAINT,WEIGHT_LINE,"You did not choose this family. This family chose you.","あなたがこの家族を選んだんじゃない。この家族があなたを選んだ。","Bạn không chọn gia đình này. Gia đình này chọn bạn.",10,2.0
10,PV_0001,BEAT_02_01,PHASE_EARLY,TIME_MARKER,NARRATION,"You are four.","あなたは四歳だ。","Bạn bốn tuổi.",3,1.0
11,PV_0001,BEAT_02_01,PHASE_EARLY,TIME_MARKER,NARRATION,"You speak two languages  -  your father's, and one from your mother's homeland, a small country in Eastern Europe that most kids in your class will never find on a map.","二つの言語を話す  -  父の言葉と、母の祖国の言葉。クラスのほとんどの子が地図で一生見つけられない、東ヨーロッパの小さな国。","Bạn nói hai thứ tiếng  -  tiếng của cha, và tiếng quê mẹ, một đất nước nhỏ ở Đông Âu mà hầu hết bạn cùng lớp sẽ chẳng bao giờ tìm được trên bản đồ.",15,0.5
12,PV_0001,BEAT_02_01,PHASE_EARLY,CONSTRAINT,NARRATION,"You learn there are words you can say at home that you can't say at school.","家で言えるはずの言葉が、学校では言えないことに気づく。","Bạn nhận ra có những từ nói được ở nhà nhưng không nói được ở trường.",14,0
