"Slate","Start_VO_ID","End_VO_ID","Life_Phase","Scene_Type","Image_Prompt"
"PV_0008_001","1","1","HOOK","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Dark factory floor at 3AM. Tall stocky broad stickman with wide shoulders in black T-shirt, boots. Round white circle head, dark brown fuller hair with buzzed sides longer on top, tired dot eyes with prominent bags under them, clean-shaven. Lying in sleeping bag on cold metal factory floor between two massive assembly line robots. Robots tower above  -  articulated arms, welding tips, cables. Dim overhead industrial lights casting long shadows. Metal floor cold. Industrial pipes and wiring overhead. Gritty factory atmosphere. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0008_002","2","2","HOOK","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Same factory floor  -  stickman in sleeping bag, stocky broad frame visible. Round white circle head, dark brown fuller hair buzzed sides, tired dot eyes with bags, clean-shaven. Phone screen lighting up beside him on metal floor  -  multiple notifications glowing: stock chart crashing red, rocket icon with countdown, court gavel icon. All at once. All his. Blue-white phone glow illuminating circle head from below. Dark factory machines looming. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0008_003","2","2","HOOK","EMOTIONAL_CLOSEUP","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Close-up from above  -  stickman lying in sleeping bag looking up at factory ceiling. Round white circle head on sleeping bag, dark brown fuller hair buzzed sides, tired dot eyes with bags staring upward, clean-shaven. Stocky broad shoulders visible. Phone glow beside face  -  blue light. Factory ceiling visible above: pipes, ducts, industrial lighting rigs, robot arms in rest position. Empire built from this floor. Background fades to deep blue at edges. Single subject. Flat illustration. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0008_004","3","3","HOOK","TEXT_OVERLAY","Dark factory floor background  -  faint outlines of assembly robots and sleeping bag in darkness. Dim blue phone glow at bottom. Large bold white sans-serif text centered: 'You built all of this so you could leave.' Minimal  -  no decoration. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character"
"PV_0008_005","4","4","PHASE_EARLY","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Very short thin child stickman in school uniform (white shirt, grey shorts). Round white circle head, small innocent dot eyes, dark neat hair outline. Standing alone in large South African house  -  high ceilings, wide rooms, expensive furniture, polished floors. Large and empty. Seven years old. Warm but hollow golden light. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0008_006","5","5","PHASE_EARLY","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Large South African suburban house  -  apartheid-era architecture, high walls, iron gate visible through window. Very short thin child stickman in school uniform, round white circle head, small innocent dot eyes, dark neat hair. Standing in grand living room. Father stickman (faceless, blank white circle head, stocky wide shoulders, mining hat shape) visible in background  -  large imposing figure. Money fills rooms but doesn't make them safe. Warm golden tones, oppressive scale. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0008_007","5","5","PHASE_EARLY","EMOTIONAL_CLOSEUP","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Dining table scene  -  very short thin child stickman in school uniform, round white circle head, small quiet dot eyes, dark neat hair. Sitting at expensive dining table. Father stickman (faceless, blank white circle head, stocky, mining hat) at head of table  -  mouth open, talking through the child not to him. As if rehearsing against a wall. Background fades to muted amber. Isolation at family table. Flat illustration. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0008_008","7","7","PHASE_EARLY","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Bedroom  -  very short thin child stickman lying on stomach on carpet surrounded by open encyclopedia volumes. Round white circle head, small absorbed dot eyes, dark neat hair. Ten hours a day. Stacks of books around him. Nobody interrupts. Nobody notices. Quiet bedroom  -  single bed, desk, bookshelf overflowing. Warm lamp light. Books don't hit. Books don't leave. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0008_009","7","7","PHASE_EARLY","EMOTIONAL_CLOSEUP","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Close-up  -  child stickman's round white circle head bent over open encyclopedia page. Small absorbed dot eyes reading. Dark neat hair. Open book filling lower frame. Safety in pages. Background fades from bedroom to warm amber void. Single subject. Flat illustration. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0008_010","8","8","PHASE_EARLY","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Schoolyard concrete stairs  -  very short thin child stickman in torn school uniform, round white circle head, small frightened dot eyes, dark neat hair, bruise marks on arms and face. Pinned against concrete stairs by three faceless bully stickmen (blank white circle heads, school uniforms, larger builds). Concrete steps cold. Violence. South African schoolyard  -  brick walls, dusty ground, harsh sunlight. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
