VO_ID,Episode_ID,Beat_ID,Life_Phase,Beat_Type,VO_Type,VO_EN,VO_VI,Word_Count_EN,Pause_After
1,PV_0023,BEAT_01_01,HOOK,ESTABLISH,NARRATION,Stethoscope on the chest.,Ong nghe tren nguc.,4,0
2,PV_0023,BEAT_01_01,HOOK,ESTABLISH,NARRATION,The heartbeat is steady.,Nhip tim deu.,4,0
3,PV_0023,BEAT_01_01,HOOK,ESTABLISH,WEIGHT_LINE,That's what qualifies them.,Do la thu khien ho du dieu kien.,4,0.5
4,PV_0023,BEAT_01_01,HOOK,ESTABLISH,NARRATION,You write one word on the form.,Ban viet mot tu len form.,7,0.5
5,PV_0023,BEAT_01_01,HOOK,ESTABLISH,WEIGHT_LINE,Unremarkable.,Binh thuong.,1,1.0
6,PV_0023,BEAT_01_01,HOOK,ESTABLISH,NARRATION,Same word you wrote this morning. That patient said thank you.,Cung tu ban viet sang nay. Benh nhan do noi cam on.,10,0
7,PV_0023,BEAT_01_01,HOOK,ESTABLISH,NARRATION,This one doesn't say anything.,Nguoi nay khong noi gi.,5,1.5
8,PV_0023,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,Same equipment. Same gloves. Same fluorescent light.,Cung thiet bi. Cung gang tay. Cung den huynh quang.,7,0
9,PV_0023,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,Different room.,Phong khac.,2,0.5
10,PV_0023,BEAT_01_02,HOOK,CONSTRAINT,WEIGHT_LINE,Different purpose.,Muc dich khac.,2,1.5
11,PV_0023,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,The difference stopped mattering.,Su khac biet ngung co y nghia.,4,0
12,PV_0023,BEAT_01_03,HOOK,REFLECT,NARRATION,Two hands. Two rooms.,Hai tay. Hai phong.,4,0.5
13,PV_0023,BEAT_01_03,HOOK,REFLECT,WEIGHT_LINE,The hands don't change. Only what they're used for.,Doi tay khong doi. Chi muc dich la khac.,9,1.5
14,PV_0023,BEAT_01_03,HOOK,REFLECT,NARRATION,You didn't plan this. Nobody plans this.,Ban khong du dinh dieu nay. Khong ai du dinh ca.,7,0
15,PV_0023,BEAT_01_03,HOOK,REFLECT,NARRATION,"You were trained to diagnose, to observe, to report.","Ban duoc dao tao de chan doan, quan sat, bao cao.",8,0
16,PV_0023,BEAT_01_03,HOOK,REFLECT,NARRATION,The training works in both rooms.,Viec dao tao ay hieu qua o ca hai phong.,6,0
17,PV_0023,BEAT_01_03,HOOK,REFLECT,WEIGHT_LINE,That's the problem.,Do la van de.,3,0
18,PV_0023,BEAT_01_03,HOOK,REFLECT,NARRATION,"You can diagnose a stranger in twelve minutes - blood pressure, heart rate, kidney function, tissue compatibility.","Ban co the chan doan mot nguoi la trong muoi hai phut - huyet ap, nhip tim, chuc nang than, do tuong thich mo.",15,0
19,PV_0023,BEAT_01_03,HOOK,REFLECT,NARRATION,Twelve minutes to decide if a body is worth keeping whole.,Muoi hai phut de quyet dinh mot co the co dang giu nguyen ven hay khong.,10,0
20,PV_0023,BEAT_01_03,HOOK,REFLECT,WEIGHT_LINE,You are good at your job.,Ban gioi viec cua ban.,6,2.0
21,PV_0023,BEAT_02_01,PHASE_EARLY,TIME_MARKER,TIME_MARKER,You are twenty-nine.,Ban hai muoi chin tuoi.,4,1.0
