"Strip_ID","Start_VO_ID","End_VO_ID","VO_Count","Life_Phase","Scene_Type","Duration_Sec","Strip_Summary"
"PV_0006_001","1","1","1","HOOK","POV_SHOT","6.5","POV from standing position in mobile operations room. Third commander in nine months."
"PV_0006_002","2","2","1","HOOK","NARRATIVE_SCENE","6.5","Stickman at briefing table  -  two predecessors didn't retire. Dim bunker atmosphere."
"PV_0006_003","3","3","1","HOOK","NARRATIVE_SCENE","6.5","Empty chair with folded uniforms  -  supreme authority dead. Same missile wave."
"PV_0006_004","4","4","1","HOOK","NARRATIVE_SCENE","13.0","Two folded uniforms on armrests with medals pinned, coffee cups untouched. Nobody moved them."
"PV_0006_005","5","5","1","HOOK","NARRATIVE_SCENE","5.1","Sixty-seven years old. Called back because the list ran out."
"PV_0006_006","6","6","1","HOOK","NARRATIVE_SCENE","14.8","Stickman standing beside chair at head of table, two fingers touching backrest like checking pulse."
"PV_0006_007","7","7","1","HOOK","NARRATIVE_SCENE","6.9","Red Notice document  -  190 countries. Interpol warrant on corkboard."
"PV_0006_008","8","8","1","HOOK","TEXT_OVERLAY","5.3","Bold white text on dark military-green background: 'But here  -  you are the law.'"
"PV_0006_009","9","9","1","PHASE_EARLY","TIME_SKIP_SCENE","7.9","Two panels: boy named after grandfather in southern city (left), young man erasing name at 21 (right)."
"PV_0006_010","10","10","1","PHASE_EARLY","EMOTIONAL_CLOSEUP","13.9","Mother calling old name for years. One correction. She stops calling entirely. Warm amber glow."
"PV_0006_011","11","11","1","PHASE_EARLY","NARRATIVE_SCENE","6.9","Young stickman joining revolutionary guard on first day. Barracks gate, recruits lining up."
"PV_0006_012","12","12","1","PHASE_EARLY","NARRATIVE_SCENE","14.3","Guard not regular army  -  answers to revolution, takes orders from God. Contrast with government military."
"PV_0006_013","13","13","1","PHASE_EARLY","NARRATIVE_SCENE","8.3","Eight years in trenches. Foot soldier to battalion commander. Sandbags and barbed wire."
"PV_0006_014","14","14","1","PHASE_EARLY","NARRATIVE_SCENE","7.4","Asymmetric warfare doctrine  -  strike from angle they forgot to model. War lesson."
