Slate,Start_VO_ID,End_VO_ID,Life_Phase,Scene_Type,Image_Prompt
PV_0018_001,1,3,HOOK,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple - contrast against highly detailed, semi-realistic painted background environment. Average height stickman in plain grey suit, open collar. Dark neat short hair. Dot eyes, alert controlled expression. Seated at small marble cafe table near window. Across from him, a second stickman (faceless, blank white circle head) in grey jacket, slight build, tea cup in front of him. Dubai cafe interior - ornate tile floor, brass ceiling fans, cardamom-scented hookah bar visible through arched doorway, morning light through carved wooden window screens casting geometric shadow patterns. Newspaper folded on table. Coffee cup untouched. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
PV_0018_002,3a,5,HOOK,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple - contrast against highly detailed, semi-realistic painted background environment. Average height stickman in plain grey suit, open collar. Dark neat short hair. Dot eyes, alert controlled expression. Standing at cafe entrance turning to look back at the table. Second stickman (faceless, blank white circle head) in grey jacket still seated, tea cup half-empty. Dubai street visible through open doorway - heat shimmer off asphalt, taxi rank, modern glass towers behind traditional souq facade. Exhaust and cardamom atmosphere. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
PV_0018_003,7,10,HOOK,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple - contrast against highly detailed, semi-realistic painted background environment. Average height stickman in plain grey suit, open collar. Dark neat short hair. Dot eyes, alert controlled expression. Seated at cafe table holding folded newspaper already read through. Coffee cup cold and untouched beside him. Phone face-down on marble table surface. Dubai cafe interior - brass wall sconces, potted palm in ceramic planter, ceiling fan rotating slowly, warm amber light filtering through lattice window. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
PV_0018_004,10a,10c,HOOK,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple - contrast against highly detailed, semi-realistic painted background environment. Average height stickman in plain grey suit, open collar. Dark neat short hair. Dot eyes, alert controlled expression. Seated alone at cafe table, hands resting flat on marble surface, weight of waiting visible in posture. Empty chair across from him with indentation in cushion as if recently sat on. Dubai cafe interior - deep wood paneling, ornamental mirror on wall reflecting morning light, small brass tray with sugar cubes, untouched coffee. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
PV_0018_005,11,13,HOOK,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple - contrast against highly detailed, semi-realistic painted background environment. Average height stickman in plain grey suit, open collar. Dark neat short hair. Dot eyes, alert controlled expression. Standing in windowless SCIF room looking at wall-mounted screen showing satellite imagery - overhead view of Iranian city streets, building compounds, roads traced in white lines against dark terrain. Multiple smaller monitors on desk showing topographic maps and communication intercepts. Blue-green glow of screens illuminating concrete walls. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
PV_0018_006,14,17,HOOK,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple - contrast against highly detailed, semi-realistic painted background environment. Average height stickman in plain grey suit observing from across cafe table. Second stickman (faceless, blank white circle head) in grey jacket, slight build, ordering from waiter. Tea cup being placed on table. The faceless asset checking wristwatch with nervous frequency. Phone slid face-down across marble surface. Dubai cafe interior - carved arched doorway, potted jasmine near entrance, amber pendant lights, morning bustle of other patrons as small background stickmen. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
PV_0018_007,18,21,HOOK,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple - contrast against highly detailed, semi-realistic painted background environment. Average height stickman in plain grey suit, open collar. Dark neat short hair. Dot eyes, alert controlled expression. Walking through Dubai commercial district alone, hands in pockets. Behind him, a series of fading translucent stickman silhouettes (faceless, blank white circle heads) suggesting multiple past meetings - each carrying a tea cup, each in grey jacket. Modern Dubai architecture - glass tower facades reflecting sunset gold, palm-lined boulevard, construction crane in distance. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
PV_0018_008,22,24,HOOK,TEXT_OVERLAY,"Dark charcoal grey background. Large bold white sans-serif text centered: 'You are a ghost.' Smaller text below: 'You don't pull the trigger. But you choose who goes back.' Minimal - no textures, no decoration. Tiny stickman silhouette bottom-right, standing with hands in pockets. Flat design, premium typography. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character"
PV_0018_009,25,28,PHASE_EARLY,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple - contrast against highly detailed, semi-realistic painted background environment. Average height stickman in navy suit, white shirt, no tie. Dark neat hair. Dot eyes, focused determined expression. Running obstacle course at CIA training compound - the Farm. Pine forest perimeter, red-brick colonial-style administrative building in background, chain-link fence with razor wire to one side, packed dirt training ground. Early morning mist. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
PV_0018_010,29,30,PHASE_EARLY,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple - contrast against highly detailed, semi-realistic painted background environment. Average height stickman in navy suit, white shirt, no tie. Dark neat hair. Dot eyes, focused determined expression. Walking into crowded conference room unnoticed. Multiple faceless stickmen (blank white circle heads) seated around long table, none looking at him. CIA training facility interior - institutional carpet, fluorescent lighting, white drop ceiling, American flag on pole in corner, water cooler. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
