Slate,Start_VO_ID,End_VO_ID,Life_Phase,Scene_Type,Duration_Sec
PV_0003_001,1,2,HOOK,NARRATIVE_SCENE,9.3
PV_0003_002,3,4,HOOK,NARRATIVE_SCENE,8.9
PV_0003_003,5,6,HOOK,TEXT_OVERLAY,9.8
PV_0003_004,7,7,PHASE_EARLY,NARRATIVE_SCENE,6.5
PV_0003_005,8,8,PHASE_EARLY,NARRATIVE_SCENE,9.7
PV_0003_006,9,9,PHASE_EARLY,NARRATIVE_SCENE,6.5
PV_0003_007,10,10,PHASE_EARLY,NARRATIVE_SCENE,7.0
PV_0003_008,11,11,PHASE_EARLY,EMOTIONAL_CLOSEUP,6.9
PV_0003_009,12,13,PHASE_EARLY,NARRATIVE_SCENE,9.7
PV_0003_010,14,14,PHASE_EARLY,NARRATIVE_SCENE,8.8
PV_0003_011,15,15,PHASE_EARLY,NARRATIVE_SCENE,7.9
PV_0003_012,16,17,PHASE_EARLY,NARRATIVE_SCENE,9.3
PV_0003_013,18,18,PHASE_EARLY,NARRATIVE_SCENE,7.4
PV_0003_014,19,20,PHASE_EARLY,EMOTIONAL_CLOSEUP,9.3
PV_0003_015,21,23,PHASE_EARLY,NARRATIVE_SCENE,10.6
PV_0003_016,24,24,PHASE_EARLY,TEXT_OVERLAY,7.5
PV_0003_017,25,26,PHASE_EARLY,NARRATIVE_SCENE,10.2
PV_0003_018,27,28,PHASE_EARLY,NARRATIVE_SCENE,7.9
PV_0003_019,29,30,PHASE_EARLY,TEXT_OVERLAY,9.8
PV_0003_020,31,32,PHASE_CONFLICT,NARRATIVE_SCENE,8.4
PV_0003_021,33,33,PHASE_CONFLICT,NARRATIVE_SCENE,6.5
PV_0003_022,34,35,PHASE_CONFLICT,NARRATIVE_SCENE,10.7
PV_0003_023,36,36,PHASE_CONFLICT,NARRATIVE_SCENE,8.3
PV_0003_024,37,38,PHASE_CONFLICT,NARRATIVE_SCENE,8.3
PV_0003_025,39,40,PHASE_CONFLICT,NARRATIVE_SCENE,11.5
PV_0003_026,41,42,PHASE_CONFLICT,NARRATIVE_SCENE,12.5
PV_0003_027,43,43,PHASE_CONFLICT,NARRATIVE_SCENE,6.5
PV_0003_028,44,44,PHASE_CONFLICT,NARRATIVE_SCENE,7.0
PV_0003_029,45,46,PHASE_CONFLICT,NARRATIVE_SCENE,11.1
PV_0003_030,47,47,PHASE_CONFLICT,NARRATIVE_SCENE,13.4
PV_0003_031,48,48,PHASE_CONFLICT,NARRATIVE_SCENE,7.4
PV_0003_032,49,50,PHASE_CONFLICT,NARRATIVE_SCENE,11.1
PV_0003_033,51,51,PHASE_CONFLICT,NARRATIVE_SCENE,6.5
PV_0003_034,52,52,PHASE_CONFLICT,NARRATIVE_SCENE,7.4
PV_0003_035,53,54,PHASE_CONFLICT,NARRATIVE_SCENE,12.0
PV_0003_036,55,56,PHASE_CONFLICT,TEXT_OVERLAY,9.3
PV_0003_037,57,57,PHASE_CONFLICT,NARRATIVE_SCENE,6.5
PV_0003_038,58,58,PHASE_CONFLICT,NARRATIVE_SCENE,8.3
PV_0003_039,59,59,PHASE_CONFLICT,NARRATIVE_SCENE,6.9
PV_0003_040,60,61,PHASE_CONFLICT,NARRATIVE_SCENE,7.4
PV_0003_041,62,62,PHASE_CONFLICT,NARRATIVE_SCENE,6.0
PV_0003_042,63,64,PHASE_CRISIS,NARRATIVE_SCENE,13.8
PV_0003_043,65,66,PHASE_CONFLICT,NARRATIVE_SCENE,11.1
PV_0003_044,67,68,PHASE_CONFLICT,NARRATIVE_SCENE,13.4
PV_0003_045,69,69,PHASE_CONFLICT,NARRATIVE_SCENE,5.1
PV_0003_046,70,70,PHASE_CONFLICT,TEXT_OVERLAY,5.7
PV_0003_047,71,71,PHASE_CRISIS,NARRATIVE_SCENE,4.6
PV_0003_048,72,73,PHASE_CRISIS,NARRATIVE_SCENE,11.1
PV_0003_049,74,75,PHASE_CRISIS,NARRATIVE_SCENE,16.2
PV_0003_050,76,77,PHASE_CRISIS,NARRATIVE_SCENE,10.6
PV_0003_051,78,79,PHASE_CRISIS,NARRATIVE_SCENE,8.8
PV_0003_052,80,80,PHASE_CRISIS,NARRATIVE_SCENE,5.5
PV_0003_053,81,82,PHASE_CRISIS,NARRATIVE_SCENE,12.5
PV_0003_054,83,83,PHASE_CRISIS,TEXT_OVERLAY,6.1
PV_0003_055,84,84,PHASE_CRISIS,NARRATIVE_SCENE,4.2
PV_0003_056,85,86,PHASE_CRISIS,NARRATIVE_SCENE,7.4
PV_0003_057,87,87,PHASE_CRISIS,NARRATIVE_SCENE,4.2
PV_0003_058,88,89,PHASE_CRISIS,NARRATIVE_SCENE,10.2
PV_0003_059,90,90,PHASE_CRISIS,NARRATIVE_SCENE,5.5
PV_0003_060,91,92,PHASE_CRISIS,NARRATIVE_SCENE,10.2
PV_0003_061,93,93,PHASE_CRISIS,NARRATIVE_SCENE,13.4
PV_0003_062,94,94,PHASE_RESOLUTION,NARRATIVE_SCENE,5.5
PV_0003_063,95,95,PHASE_RESOLUTION,NARRATIVE_SCENE,6.5
PV_0003_064,96,96,PHASE_CRISIS,NARRATIVE_SCENE,8.8
PV_0003_065,97,98,PHASE_CRISIS,NARRATIVE_SCENE,5.5
PV_0003_066,99,100,PHASE_CRISIS,NARRATIVE_SCENE,14.3
PV_0003_067,101,101,PHASE_CRISIS,TEXT_OVERLAY,6.6
PV_0003_068,102,103,PHASE_CRISIS,NARRATIVE_SCENE,10.2
PV_0003_069,104,104,PHASE_CRISIS,NARRATIVE_SCENE,7.6
PV_0003_070,105,106,PHASE_CRISIS,NARRATIVE_SCENE,8.0
PV_0003_071,107,108,PHASE_RESOLUTION,NARRATIVE_SCENE,8.3
PV_0003_072,109,109,PHASE_RESOLUTION,TEXT_OVERLAY,4.2
PV_0003_073,110,110,PHASE_PRESENT,NARRATIVE_SCENE,7.0
PV_0003_074,111,111,PHASE_RESOLUTION,NARRATIVE_SCENE,5.5
PV_0003_075,112,113,PHASE_RESOLUTION,NARRATIVE_SCENE,8.8
PV_0003_076,114,114,PHASE_RESOLUTION,NARRATIVE_SCENE,4.6
PV_0003_077,115,115,PHASE_PRESENT,NARRATIVE_SCENE,4.6
PV_0003_078,116,116,PHASE_PRESENT,NARRATIVE_SCENE,7.9
PV_0003_079,117,117,PHASE_RESOLUTION,NARRATIVE_SCENE,4.2
PV_0003_080,118,119,PHASE_RESOLUTION,NARRATIVE_SCENE,7.9
PV_0003_081,120,120,PHASE_RESOLUTION,NARRATIVE_SCENE,6.5
PV_0003_082,121,122,PHASE_RESOLUTION,NARRATIVE_SCENE,9.7
PV_0003_083,123,123,PHASE_RESOLUTION,NARRATIVE_SCENE,12.9
PV_0003_084,124,124,PHASE_RESOLUTION,NARRATIVE_SCENE,7.0
PV_0003_085,125,126,PHASE_RESOLUTION,NARRATIVE_SCENE,8.8
PV_0003_086,127,127,PHASE_RESOLUTION,NARRATIVE_SCENE,5.1
PV_0003_087,128,129,PHASE_RESOLUTION,NARRATIVE_SCENE,11.9
PV_0003_088,130,130,PHASE_RESOLUTION,NARRATIVE_SCENE,8.3
PV_0003_089,131,131,PHASE_RESOLUTION,NARRATIVE_SCENE,6.0
PV_0003_090,132,132,PHASE_RESOLUTION,TEXT_OVERLAY,6.6
PV_0003_091,133,134,PHASE_PRESENT,NARRATIVE_SCENE,6.5
PV_0003_092,135,135,PHASE_PRESENT,NARRATIVE_SCENE,5.6
PV_0003_093,136,137,PHASE_PRESENT,NARRATIVE_SCENE,8.8
PV_0003_094,138,138,PHASE_PRESENT,NARRATIVE_SCENE,7.4
PV_0003_095,139,139,PHASE_PRESENT,NARRATIVE_SCENE,7.0
