VO_ID,Episode_ID,Beat_ID,Life_Phase,Beat_Type,VO_Type,VO_EN,Word_Count_EN,Pause_After
1,PV_0014,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"The number on the screen says twenty-six billion.",8,0
2,PV_0014,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"It's the largest number you've ever seen attached to your name.",11,0
3,PV_0014,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You don't think of it as money.",7,0
4,PV_0014,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You think of it as proof.",5,0
5,PV_0014,BEAT_01_01,HOOK,ESTABLISH,WEIGHT_LINE,"Proof you were right about everything.",6,1.5
6,PV_0014,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"Seventy-two hours from now, that number will be zero.",9,0.5
7,PV_0014,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"And everyone who trusted you will learn the truth at the same time.",12,0
8,PV_0014,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You just don't know that yet.",6,1.0
9,PV_0014,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,"You're standing in a federal courtroom.",6,0
10,PV_0014,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,"The lights are too white.",5,0
11,PV_0014,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,"You're wearing a suit someone else picked out.",8,0.5
12,PV_0014,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,"Three years ago you wore cargo shorts to testify before Congress.",10,0
13,PV_0014,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,"Nobody stopped you.",3,0
14,PV_0014,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,"Nobody thought that was a problem.",5,0.5
15,PV_0014,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,"You didn't think you were gambling.",6,0
16,PV_0014,BEAT_01_02,HOOK,CONSTRAINT,WEIGHT_LINE,"You thought you could fix it before anyone noticed.",9,2.0
17,PV_0014,BEAT_01_03,HOOK,ESTABLISH,WEIGHT_LINE,"You gambled with eight million people's money.",7,0
18,PV_0014,BEAT_01_03,HOOK,ESTABLISH,WEIGHT_LINE,"And you lost.",3,2.0
19,PV_0014,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You grow up on a university campus.",7,0
20,PV_0014,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Faculty housing.",2,0
21,PV_0014,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Trees everywhere.",2,0
22,PV_0014,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Your parents are both professors.",5,0
23,PV_0014,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Law.",1,0
24,PV_0014,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"The most elite school in the country.",7,0.5
25,PV_0014,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Your mother teaches ethics.",4,0
26,PV_0014,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Your father teaches tax law.",5,0
27,PV_0014,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Dinner is a debate.",4,0
28,PV_0014,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Breakfast is a correction.",4,0
29,PV_0014,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You learn to argue before you learn to listen.",8,0.5
30,PV_0014,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You're the smartest kid in every room you walk into.",10,0
31,PV_0014,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You finish tests before anyone else.",6,0
32,PV_0014,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You read textbooks the way other kids read comics.",9,0
33,PV_0014,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"A kid tries to sit with you at lunch once.",8,0
34,PV_0014,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You don't know if he's being nice or if his parents told him to.",13,0.5
35,PV_0014,BEAT_02_01,PHASE_EARLY,ESTABLISH,WEIGHT_LINE,"You can't connect with a single person in any of them.",10,1.5
36,PV_0014,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Systems make more sense.",4,0
37,PV_0014,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Numbers don't change their mind.",5,0
38,PV_0014,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"People do.",2,0
39,PV_0014,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You decide early that people are a variable you can't optimize.",10,0.5
40,PV_0014,BEAT_02_02,PHASE_EARLY,REFLECT,TIME_MARKER,"You are fourteen.",3,1.0
41,PV_0014,BEAT_02_02,PHASE_EARLY,REFLECT,NARRATION,"You find a philosophy that changes everything.",7,0.5
42,PV_0014,BEAT_02_02,PHASE_EARLY,REFLECT,NARRATION,"Earn as much money as you possibly can.",7,0
43,PV_0014,BEAT_02_02,PHASE_EARLY,REFLECT,NARRATION,"Then give it all away.",5,0
44,PV_0014,BEAT_02_02,PHASE_EARLY,REFLECT,NARRATION,"Not some.",2,0
45,PV_0014,BEAT_02_02,PHASE_EARLY,REFLECT,WEIGHT_LINE,"All of it.",3,1.0
46,PV_0014,BEAT_02_02,PHASE_EARLY,REFLECT,NARRATION,"The math is simple.",4,0
47,PV_0014,BEAT_02_02,PHASE_EARLY,REFLECT,NARRATION,"One hedge fund manager's salary can fund malaria nets for an entire country.",12,0
48,PV_0014,BEAT_02_02,PHASE_EARLY,REFLECT,NARRATION,"More lives saved than any doctor.",6,0
49,PV_0014,BEAT_02_02,PHASE_EARLY,REFLECT,NARRATION,"More than any politician.",4,0
50,PV_0014,BEAT_02_02,PHASE_EARLY,REFLECT,NARRATION,"More than anyone.",3,0.5
51,PV_0014,BEAT_02_02,PHASE_EARLY,REFLECT,NARRATION,"For the first time in your life, the numbers and the morality point the same direction.",14,0.5
52,PV_0014,BEAT_02_02,PHASE_EARLY,REFLECT,NARRATION,"The purpose isn't money.",4,0
53,PV_0014,BEAT_02_02,PHASE_EARLY,REFLECT,WEIGHT_LINE,"The purpose is maximizing impact.",5,1.5
54,PV_0014,BEAT_02_02,PHASE_EARLY,REFLECT,NARRATION,"That sentence will follow you to a courtroom.",7,0
55,PV_0014,BEAT_02_22,PHASE_EARLY,REFLECT,NARRATION,"But you don't know that yet.",6,1.0
56,PV_0014,BEAT_02_03,PHASE_EARLY,ESTABLISH,NARRATION,"You graduate with a physics degree.",6,0
57,PV_0014,BEAT_02_03,PHASE_EARLY,ESTABLISH,NARRATION,"Not because you love physics.",5,0
58,PV_0014,BEAT_02_03,PHASE_EARLY,ESTABLISH,NARRATION,"Because it teaches you how systems work.",6,0.5
59,PV_0014,BEAT_02_03,PHASE_EARLY,ESTABLISH,NARRATION,"You get a job at a trading desk.",7,0
60,PV_0014,BEAT_02_03,PHASE_EARLY,ESTABLISH,NARRATION,"Suits.",1,0
61,PV_0014,BEAT_02_03,PHASE_EARLY,ESTABLISH,NARRATION,"Ties.",1,0
62,PV_0014,BEAT_02_03,PHASE_EARLY,ESTABLISH,NARRATION,"Money moving in fractions of a second.",6,0.5
63,PV_0014,BEAT_02_03,PHASE_EARLY,ESTABLISH,NARRATION,"You learn that money has cracks.",6,0
64,PV_0014,BEAT_02_03,PHASE_EARLY,ESTABLISH,NARRATION,"Tiny differences between what something costs here and what it costs there.",11,0
65,PV_0014,BEAT_02_03,PHASE_EARLY,ESTABLISH,NARRATION,"Arbitrage.",1,0
66,PV_0014,BEAT_02_03,PHASE_EARLY,ESTABLISH,NARRATION,"You're good at finding the cracks.",6,0
67,PV_0014,BEAT_02_03,PHASE_EARLY,ESTABLISH,NARRATION,"Better than most people in the room.",6,0
68,PV_0014,BEAT_02_03,PHASE_EARLY,ESTABLISH,NARRATION,"The desk is cold under your wrists.",7,0
69,PV_0014,BEAT_02_03,PHASE_EARLY,ESTABLISH,NARRATION,"You don't mind.",3,0.5
70,PV_0014,BEAT_02_03,PHASE_EARLY,ESTABLISH,NARRATION,"Then you notice something.",4,0
71,PV_0014,BEAT_02_03,PHASE_EARLY,ESTABLISH,NARRATION,"Crypto has wider cracks.",4,0
72,PV_0014,BEAT_02_03,PHASE_EARLY,ESTABLISH,NARRATION,"Much wider.",2,0
73,PV_0014,BEAT_02_03,PHASE_EARLY,ESTABLISH,NARRATION,"Money sitting there.",3,0
74,PV_0014,BEAT_02_03,PHASE_EARLY,ESTABLISH,WEIGHT_LINE,"Uncollected.",1,1.0
75,PV_0014,BEAT_02_04,PHASE_EARLY,TIME_MARKER,TIME_MARKER,"You are twenty-five.",4,1.0
76,PV_0014,BEAT_02_04,PHASE_EARLY,TIME_MARKER,NARRATION,"You quit.",2,0
77,PV_0014,BEAT_02_04,PHASE_EARLY,TIME_MARKER,NARRATION,"Your boss thinks you're making a mistake.",7,0
78,PV_0014,BEAT_02_04,PHASE_EARLY,TIME_MARKER,NARRATION,"You don't care.",3,0.5
79,PV_0014,BEAT_02_04,PHASE_EARLY,TIME_MARKER,NARRATION,"You rent an apartment.",4,0
80,PV_0014,BEAT_02_04,PHASE_EARLY,TIME_MARKER,NARRATION,"Mattresses on the floor.",4,0
81,PV_0014,BEAT_02_04,PHASE_EARLY,TIME_MARKER,NARRATION,"Screens on every surface.",4,0
82,PV_0014,BEAT_02_04,PHASE_EARLY,TIME_MARKER,NARRATION,"The air smells like instant noodles and old carpet.",9,0
83,PV_0014,BEAT_02_04,PHASE_EARLY,TIME_MARKER,NARRATION,"You don't remember the last time you left before midnight.",10,0
84,PV_0014,BEAT_02_04,PHASE_EARLY,TIME_MARKER,NARRATION,"You don't mind that either.",5,0.5
85,PV_0014,BEAT_02_04,PHASE_EARLY,TIME_MARKER,NARRATION,"You're not building a company.",5,0
86,PV_0014,BEAT_02_04,PHASE_EARLY,TIME_MARKER,WEIGHT_LINE,"You're building a machine to save the world.",8,1.0
87,PV_0014,BEAT_02_04,PHASE_EARLY,TIME_MARKER,NARRATION,"At least that's what you tell yourself.",7,0
88,PV_0014,BEAT_02_04,PHASE_EARLY,TIME_MARKER,NARRATION,"And for a while, the math checks out.",7,2.0
89,PV_0014,BEAT_03_01,PHASE_CONFLICT,ESTABLISH,NARRATION,"The trading firm makes hundreds of millions in its first year.",10,0
90,PV_0014,BEAT_03_01,PHASE_CONFLICT,ESTABLISH,NARRATION,"Arbitrage.",1,0
91,PV_0014,BEAT_03_01,PHASE_CONFLICT,ESTABLISH,NARRATION,"The cracks in the market.",5,0
92,PV_0014,BEAT_03_01,PHASE_CONFLICT,ESTABLISH,NARRATION,"No one else is fast enough to catch them.",8,0.5
93,PV_0014,BEAT_03_01,PHASE_CONFLICT,ESTABLISH,NARRATION,"You're proving the philosophy right.",5,0
94,PV_0014,BEAT_03_01,PHASE_CONFLICT,ESTABLISH,NARRATION,"Earn to give.",3,0
95,PV_0014,BEAT_03_01,PHASE_CONFLICT,ESTABLISH,NARRATION,"Every dollar is a future life saved.",7,0
96,PV_0014,BEAT_03_01,PHASE_CONFLICT,ESTABLISH,NARRATION,"You donate millions to charity.",5,0
97,PV_0014,BEAT_03_01,PHASE_CONFLICT,ESTABLISH,NARRATION,"You track the impact per dollar on a spreadsheet that nobody else sees.",12,0
98,PV_0014,BEAT_03_01,PHASE_CONFLICT,ESTABLISH,WEIGHT_LINE,"The numbers validate everything you believe.",6,1.5
99,PV_0014,BEAT_03_02,PHASE_CONFLICT,ESTABLISH,TIME_MARKER,"You are twenty-seven.",4,1.0
100,PV_0014,BEAT_03_02,PHASE_CONFLICT,ESTABLISH,NARRATION,"You build your own exchange.",5,0
101,PV_0014,BEAT_03_02,PHASE_CONFLICT,ESTABLISH,NARRATION,"Not on Wall Street.",4,0
102,PV_0014,BEAT_03_02,PHASE_CONFLICT,ESTABLISH,NARRATION,"On an island.",3,0
103,PV_0014,BEAT_03_02,PHASE_CONFLICT,ESTABLISH,NARRATION,"The Caribbean.",2,0.5
104,PV_0014,BEAT_03_02,PHASE_CONFLICT,ESTABLISH,NARRATION,"The penthouse costs forty million dollars.",6,0
105,PV_0014,BEAT_03_02,PHASE_CONFLICT,ESTABLISH,NARRATION,"Ten people live there.",4,0
106,PV_0014,BEAT_03_02,PHASE_CONFLICT,ESTABLISH,NARRATION,"They also work there.",4,0
107,PV_0014,BEAT_03_02,PHASE_CONFLICT,ESTABLISH,NARRATION,"Some of them are dating each other.",6,0
108,PV_0014,BEAT_03_02,PHASE_CONFLICT,ESTABLISH,NARRATION,"You call it optimizing.",4,0
109,PV_0014,BEAT_03_02,PHASE_CONFLICT,ESTABLISH,WEIGHT_LINE,"Not luxury. Optimizing.",3,1.5
110,PV_0014,BEAT_03_02,PHASE_CONFLICT,ESTABLISH,NARRATION,"The air conditioning runs all day.",6,0
111,PV_0014,BEAT_03_02,PHASE_CONFLICT,ESTABLISH,NARRATION,"The screens never turn off.",5,0
112,PV_0014,BEAT_03_02,PHASE_CONFLICT,ESTABLISH,NARRATION,"You sleep on a beanbag sometimes.",6,0
113,PV_0014,BEAT_03_02,PHASE_CONFLICT,ESTABLISH,NARRATION,"You don't remember when that became normal.",7,0.5
114,PV_0014,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,"The biggest investors in the world pour money in.",8,0
115,PV_0014,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,"Four hundred million.",3,0
116,PV_0014,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,"Then two billion.",3,0.5
117,PV_0014,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,"They write articles about you.",5,0
118,PV_0014,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,"They call you a once-in-a-generation founder.",7,0
119,PV_0014,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,"You bookmark the articles.",4,0
120,PV_0014,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,"You don't read them twice.",5,0
121,PV_0014,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,"Or maybe you do.",4,0.5
122,PV_0014,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,"Congress invites you to testify.",5,0
123,PV_0014,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,"They call you responsible.",4,0
124,PV_0014,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,"They call you the adult in the room.",7,0.5
125,PV_0014,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,"You play video games during board calls.",6,0
126,PV_0014,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,"Not because you don't care.",5,0
127,PV_0014,BEAT_03_03,PHASE_CONFLICT,CONFLICT,WEIGHT_LINE,"Because you think faster than everyone on the screen.",9,1.5
128,PV_0014,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,"Someone shakes your hand after the hearing.",7,0
129,PV_0014,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,"They hold it a second too long.",6,0
130,PV_0014,BEAT_03_03,PHASE_CONFLICT,CONFLICT,NARRATION,"You don't know what to do with that.",7,0.5
131,PV_0014,BEAT_03_04,PHASE_CONFLICT,CONFLICT,NARRATION,"You donate a hundred million dollars to political campaigns.",9,0
132,PV_0014,BEAT_03_04,PHASE_CONFLICT,CONFLICT,NARRATION,"Both sides.",2,0
133,PV_0014,BEAT_03_04,PHASE_CONFLICT,CONFLICT,NARRATION,"Maximum impact requires maximum leverage.",5,0
134,PV_0014,BEAT_03_04,PHASE_CONFLICT,CONFLICT,NARRATION,"The philosophy says so.",4,0.5
135,PV_0014,BEAT_03_04,PHASE_CONFLICT,CONFLICT,NARRATION,"Every dollar has a calculation behind it.",6,0
136,PV_0014,BEAT_03_04,PHASE_CONFLICT,CONFLICT,NARRATION,"Every relationship has a purpose.",5,0
137,PV_0014,BEAT_03_04,PHASE_CONFLICT,CONFLICT,NARRATION,"You try to explain it to someone once - the philosophy, the math, why it all connects.",15,0
138,PV_0014,BEAT_03_04,PHASE_CONFLICT,CONFLICT,NARRATION,"It doesn't come out right.",5,0
139,PV_0014,BEAT_03_04,PHASE_CONFLICT,CONFLICT,WEIGHT_LINE,"You stop trying after that.",5,1.5
140,PV_0014,BEAT_03_04,PHASE_CONFLICT,CONFLICT,NARRATION,"You eat the same thing every day.",7,0
141,PV_0014,BEAT_03_04,PHASE_CONFLICT,CONFLICT,NARRATION,"You wear the same shorts.",5,0
142,PV_0014,BEAT_03_04,PHASE_CONFLICT,CONFLICT,NARRATION,"Optimizing decisions means eliminating the ones that don't matter.",9,0
143,PV_0014,BEAT_03_04,PHASE_CONFLICT,CONFLICT,NARRATION,"You tap the edge of the table once.",7,0
144,PV_0014,BEAT_03_04,PHASE_CONFLICT,CONFLICT,NARRATION,"Just once.",2,0
145,PV_0014,BEAT_03_04,PHASE_CONFLICT,CONFLICT,NARRATION,"Then you stop.",3,0.5
146,PV_0014,BEAT_03_05,PHASE_CONFLICT,CONFLICT,NARRATION,"But behind everything, the trading firm is losing money.",9,0
147,PV_0014,BEAT_03_05,PHASE_CONFLICT,CONFLICT,NARRATION,"Big trades.",2,0
148,PV_0014,BEAT_03_05,PHASE_CONFLICT,CONFLICT,NARRATION,"Bad bets.",2,0
149,PV_0014,BEAT_03_05,PHASE_CONFLICT,CONFLICT,NARRATION,"Positions that were supposed to be hedged.",7,0
150,PV_0014,BEAT_03_05,PHASE_CONFLICT,CONFLICT,NARRATION,"They weren't.",2,0.5
151,PV_0014,BEAT_03_05,PHASE_CONFLICT,CONFLICT,NARRATION,"The hole gets deeper.",4,0
152,PV_0014,BEAT_03_05,PHASE_CONFLICT,CONFLICT,NARRATION,"And you fill it.",4,0
153,PV_0014,BEAT_03_05,PHASE_CONFLICT,CONFLICT,NARRATION,"With customer money.",3,0.5
154,PV_0014,BEAT_03_05,PHASE_CONFLICT,CONFLICT,NARRATION,"You don't think of it as stealing.",6,0
