"VO_ID","Episode_ID","Beat_ID","Life_Phase","Beat_Type","VO_Type","VO_EN","VO_JA","VO_VI","Word_Count_EN","Pause_After"
"1","PV_0006","BEAT_01_01","HOOK","ESTABLISH","NARRATION","The operations room moves every seventy-two hours. New coordinates. New basement. Same war.","作戦室は72時間ごとに移動する。新しい座標。新しい地下室。同じ戦争。","Phòng tác chiến di chuyển mỗi bảy mươi hai giờ. Toạ độ mới. Tầng hầm mới. Cùng cuộc chiến.","14","0"
"2","PV_0006","BEAT_01_01","HOOK","ESTABLISH","NARRATION","You are the third commander in nine months. The first two didn't retire.","あなたは九ヶ月で三人目の司令官だ。前の二人は引退していない。","Bạn là chỉ huy thứ ba trong chín tháng. Hai người trước không phải nghỉ hưu.","12","1.0"
"3","PV_0006","BEAT_01_02","HOOK","CRISIS","NARRATION","The man above them  -  thirty-seven years in the highest chair  -  dead. Same wave of missiles.","その上の男 -  - 37年間最高の椅子に -  - 死亡。同じミサイルの波。","Người trên họ  -  ba mươi bảy năm trên ghế cao nhất  -  chết. Cùng đợt tên lửa.","13","0.5"
"4","PV_0006","BEAT_01_02","HOOK","CRISIS","NARRATION","Their chairs are empty now. Two uniforms folded over the armrests  -  medals still pinned. Nobody moved them. Nobody wants to touch a dead man's decorations. The coffee cups are still on the table.","彼らの椅子は空だ。二着の制服が肘掛けに畳まれている -  - 勲章がまだ付いたまま。誰も動かさない。死んだ男の勲章に触れたい者はいない。コーヒーカップがまだテーブルに。","Ghế họ giờ trống. Hai bộ quân phục gấp trên tay vịn  -  huân chương vẫn gài. Không ai chuyển. Không ai muốn chạm huân chương người chết. Cốc cà phê vẫn trên bàn.","27","0.5"
"5","PV_0006","BEAT_01_03","HOOK","CONSTRAINT","NARRATION","You are sixty-seven. They called you back because the list ran out.","あなたは六十七歳。リストが尽きたから呼び戻された。","Bạn sáu mươi bảy tuổi. Họ gọi bạn lại vì danh sách đã hết.","11","0"
"6","PV_0006","BEAT_01_03","HOOK","CONSTRAINT","NARRATION","There is a chair at the head of the table. You stand beside it. You have a habit of touching the back of the chair with two fingers  -  like checking a pulse  -  before you begin the briefing.","テーブルの上座に椅子がある。あなたはその横に立つ。ブリーフィングを始める前に二本の指で椅子の背に触れる癖がある -  - 脈を確認するように。","Có chiếc ghế ở đầu bàn. Bạn đứng bên cạnh. Bạn có thói quen chạm lưng ghế bằng hai ngón tay  -  như bắt mạch  -  trước khi bắt đầu họp.","31","0.5"
"7","PV_0006","BEAT_01_04","HOOK","REFLECT","NARRATION","An international police agency has your name on a warrant in one hundred and ninety countries.","国際警察機関があなたの名前を190カ国の令状に載せている。","Cơ quan cảnh sát quốc tế có tên bạn trên lệnh bắt ở một trăm chín mươi nước.","15","0"
"8","PV_0006","BEAT_01_04","HOOK","REFLECT","WEIGHT_LINE","But here  -  you are the law.","しかしここでは -  - あなたが法律だ。","Nhưng ở đây  -  bạn là luật.","6","2.5"
"9","PV_0006","BEAT_02_01","PHASE_EARLY","TIME_MARKER","NARRATION","Born in the southern city. A boy named after his grandfather. You will erase that name at twenty-one.","南の街で生まれる。祖父にちなんで名付けられた少年。二十一歳でその名前を消すことになる。","Sinh ra ở thành phố phía nam. Một cậu bé mang tên ông nội. Bạn sẽ xoá cái tên đó lúc hai mươi mốt.","16","0.5"
"10","PV_0006","BEAT_02_01","PHASE_EARLY","TIME_MARKER","NARRATION","Your mother calls you by the old name for years after. You correct her once. She stops calling entirely. You don't bring it up again. Some costs are too small to name and too large to forget.","母は旧姓で何年も呼び続ける。一度訂正する。彼女は完全に電話をやめる。もう話題にしない。名前をつけるには小さすぎ忘れるには大きすぎる代償。","Mẹ gọi bạn bằng tên cũ suốt nhiều năm. Bạn sửa một lần. Bà ngừng gọi hoàn toàn. Bạn không nhắc lại. Có cái giá quá nhỏ để gọi tên và quá lớn để quên.","28","1.0"
