Beat_ID,Life_Phase,Beat_Type,Content_Sketch,Mood_Tag,Beat_Duration_Sec,Scene_Type,Illustration_Note
BEAT_01_01,HOOK,ESTABLISH,"Born on the top floor of a Manhattan tower — the entire floor belongs to you",WONDER,12,POV_SHOT,"First-person view from penthouse window — Manhattan skyline below, stickman hands on glass"
BEAT_01_02,HOOK,PRIVILEGE,"Your name appears in newspapers before you can speak",WONDER,10,TEXT_OVERLAY,"Dark navy background — bold text: BORN INTO EVERYTHING."
BEAT_01_03,HOOK,CONSTRAINT,"You didn't choose this family. This family chose you.",WONDER,8,TEXT_OVERLAY,"Dark background — text: YOU DIDN'T CHOOSE THIS FAMILY. — small stickman silhouette bottom-right"
BEAT_02_01,PHASE_EARLY,TIME_MARKER,"You are four. You speak two languages — your father's and your mother's homeland tongue.",WONDER,10,NARRATIVE_SCENE,"Small stickman in gold-toned penthouse living room — tall windows, city lights"
BEAT_02_02,PHASE_EARLY,PRIVILEGE,"You are seven. Black SUVs take you to a private school in Manhattan. Your friends are background-checked before they can come to your birthday.",WONDER,14,NARRATIVE_SCENE,"Small stickman with backpack walking toward school entrance — black SUV behind, agent figure standing"
BEAT_02_03,PHASE_EARLY,CONSTRAINT,"You use a different name at school. No one knows which family you belong to.",LONGING,10,CONTRAST_SPLIT,"Left: stickman labeled 'Jack' among classmates / Right: same stickman in penthouse tower — two lives"
BEAT_02_04,PHASE_EARLY,TIME_MARKER,"You are ten. Your father wins. You move into a house with one hundred thirty-two rooms. None of them feel like yours.",WONDER,14,TIME_SKIP_SCENE,"Left panel AGE 7 stickman in Manhattan school / Right panel AGE 10 stickman in White House hallway"
BEAT_02_05,PHASE_EARLY,REFLECT,"Your mother stays behind in New York for a few months. So you can finish the school year. She chose you over the spotlight.",LONGING,12,EMOTIONAL_CLOSEUP,"Small stickman looking out White House window — warm amber tint fading at edges"
BEAT_02_06,PHASE_EARLY,CONSTRAINT,"From here on — everything changes.",LONGING,6,TEXT_OVERLAY,"White text on dark background: FROM HERE ON. EVERYTHING CHANGES."
BEAT_03_01,PHASE_CONFLICT,CONSTRAINT,"Secret Service agents sit outside your classroom in Maryland. They wear plain clothes but everyone knows.",TENSION,12,NARRATIVE_SCENE,"Tall stickman at school desk — two dark-suited figures visible through classroom door window"
BEAT_03_02,PHASE_CONFLICT,CONFLICT,"Your friends want to visit. They need to pass a federal background check first. Some stop trying.",TENSION,12,CONTRAST_SPLIT,"Left: stickman alone in White House corridor / Right: group of stickmen hanging out on suburban street"
BEAT_03_03,PHASE_CONFLICT,REFLECT,"Your siblings go on television. They argue. They campaign. They become public figures. You stay silent.",TENSION,14,NARRATIVE_SCENE,"Living room — TV screen showing multiple small stickmen. Subject stickman sits alone on couch, watching"
BEAT_03_04,PHASE_CONFLICT,CONFLICT,"Your father is impeached for the first time. You are thirteen. You read it on your phone in your bedroom.",TENSION,12,EMOTIONAL_CLOSEUP,"Tall stickman sitting on bed, hunched over phone — cool blue wash at edges"
BEAT_03_05,PHASE_CONFLICT,TIME_MARKER,"You are fourteen. The family leaves Washington for Florida. New school. New state. New version of you.",LONGING,10,TIME_SKIP_SCENE,"Left panel: White House silhouette / Right panel: palm trees and gated estate"
BEAT_03_06,PHASE_CONFLICT,CONSTRAINT,"You are seventeen. Over six foot seven. You cannot hide anymore. Not in a crowd. Not anywhere.",TENSION,10,NARRATIVE_SCENE,"Very tall stickman walking through school hallway — noticeably taller than every other figure"
BEAT_03_07,PHASE_CONFLICT,REFLECT,"People photograph you walking. Just walking. That is enough.",TENSION,8,EMOTIONAL_CLOSEUP,"Tall stickman walking on sidewalk — tiny phone-holding stickmen in background. Desaturated grey tint"
BEAT_04_01,PHASE_CRISIS,TIME_MARKER,"You are eighteen. You graduate. Your father is running again.",DREAD,8,NARRATIVE_SCENE,"Tall stickman in graduation cap — campaign signs visible in background landscape"
BEAT_04_02,PHASE_CRISIS,CRISIS,"You are invited to be a delegate at the party convention. You say no.",DREAD,10,EMOTIONAL_CLOSEUP,"Tall stickman standing alone in empty room — phone on table. Cool grey tint"
BEAT_04_03,PHASE_CRISIS,CRISIS,"Inauguration day. Second time. You stand on the stage. You are taller than everyone. The cameras find you every time.",CLARITY,14,POV_SHOT,"First-person view from inauguration stage — crowd stretching to horizon, flags, columns of marble"
BEAT_04_04,PHASE_CRISIS,REFLECT,"The whole world is watching you. And you haven't said a word.",CLARITY,8,TEXT_OVERLAY,"Dark background — THE WORLD IS WATCHING. / AND YOU HAVEN'T SAID A WORD."
BEAT_05_01,PHASE_RESOLUTION,TIME_MARKER,"You are nineteen. You enroll in a business school in New York. Back to Manhattan. Back to where you were born.",BITTERSWEET,12,TIME_SKIP_SCENE,"Left panel: inauguration stage / Right panel: Manhattan campus building"
BEAT_05_02,PHASE_RESOLUTION,RESOLVE,"Secret Service still follows you into lecture halls. Stands outside your door at night.",BITTERSWEET,10,NARRATIVE_SCENE,"Tall stickman in lecture hall — agent figure standing at back wall. Other student stickmen seated"
BEAT_05_03,PHASE_RESOLUTION,REFLECT,"But for the first time you chose the school. You chose the city. You chose business — not law. Not politics.",CLARITY,12,EMOTIONAL_CLOSEUP,"Tall stickman walking across campus — soft gold light from above. Slight smile implied by posture"
