Strip_ID,Start_VO_ID,End_VO_ID,VO_Count,Life_Phase,Scene_Type,Strip_Duration_Sec,Strip_Summary
PV_0019_001,1,6,6,HOOK,TEXT_OVERLAY,11.5,"The first thing that disappears is not a building. The internet. VPN spins and never catches."
PV_0019_002,7,10,4,HOOK,TEXT_OVERLAY,9.8,"No one asked what you thought about the war. It just arrived."
PV_0019_003,11,14,4,HOOK,NARRATIVE_SCENE,10.2,"Glass of water on kitchen counter shakes. Vibration in your feet. Then the floor. Then the walls."
PV_0019_004,15,16,2,HOOK,NARRATIVE_SCENE,6.2,"The sound comes last. It always comes last."
PV_0019_005,17,21,5,HOOK,NARRATIVE_SCENE,5.8,"You start counting. Distance. Seconds. Bottles. People."
PV_0019_006,22,23,2,HOOK,EMOTIONAL_CLOSEUP,7.5,"You don't remember when you started counting. But you don't stop."
PV_0019_007,24,27,4,PHASE_EARLY,NARRATIVE_SCENE,11.1,"Software engineer in Tehran. You build payment apps that can't process international transactions. Code works. Banking doesn't."
PV_0019_008,28,29,2,PHASE_EARLY,NARRATIVE_SCENE,6.5,"Boss sends thumbs-up emoji at two AM. That's your raise."
PV_0019_009,29b,29f,5,PHASE_EARLY,NARRATIVE_SCENE,9.0,"Wife teaches across town. Leaves before you wake. Puts daughter's shoes by front door every night. Lined up. Ready."
PV_0019_010,29g,29h,2,PHASE_EARLY,NARRATIVE_SCENE,5.2,"You don't know why that matters. It just does."
PV_0019_011,30,34,5,PHASE_EARLY,NARRATIVE_SCENE,11.4,"Tehran is nine million people on Hemmat Expressway. Students smoke on Enghelab Street. Coworker angry about Persepolis. That's the argument you're allowed."
PV_0019_012,35,38,4,PHASE_EARLY,NARRATIVE_SCENE,9.0,"Barista misspells your name on purpose. Saffron ice cream from the shop on Valiasr every Friday. Wife's favorite."
PV_0019_013,39,41,3,PHASE_EARLY,NARRATIVE_SCENE,7.7,"You carry ice cream home in plastic bag that always drips. Sticks to your fingers. Don't wipe them."
PV_0019_014,42,47,6,PHASE_EARLY,NARRATIVE_SCENE,8.5,"Daughter draws a cat. Orange body. Blue eyes. Doesn't look like a cat. She says it's a cat. So it's a cat."
PV_0019_015,48,51,4,PHASE_EARLY,NARRATIVE_SCENE,10.3,"She tapes it to the fridge. Every morning you see it. Press the tape back. It never holds."
PV_0019_016,52,57,6,PHASE_EARLY,NARRATIVE_SCENE,9.9,"The regime is background noise. Oppressive but familiar. Like weather. You've learned where the lines are. You live inside them."
PV_0019_017,58,64,7,PHASE_EARLY,NARRATIVE_SCENE,11.4,"Sanctions already here. Insulin costs three months salary. Pharmacy shelves have gaps. Dust on your fingertips."
PV_0019_018,65,67,3,PHASE_EARLY,NARRATIVE_SCENE,9.4,"Generic version from a factory that lost its supply chain. The pill exists somewhere. The logistics don't exist in yours."
PV_0019_019,68,70,3,PHASE_EARLY,NARRATIVE_SCENE,7.7,"You check the dollar exchange rate every morning before breakfast. Nothing you can do about the number. But you check."
PV_0019_020,71,76,6,PHASE_EARLY,NARRATIVE_SCENE,11.1,"You drop daughter at school. Backpack bigger than she is. She waves from the gate. You watch until she turns the corner. Every morning."
PV_0019_021,77,82,6,PHASE_EARLY,TEXT_OVERLAY,10.8,"You thought these things would always be there. The metro. The cafe. The ice cream. The wave from the gate. You thought wrong."
PV_0019_022,83,84,2,PHASE_CONFLICT,TEXT_OVERLAY,5.8,"It starts with the internet. Not with bombs."
PV_0019_023,85,89,5,PHASE_CONFLICT,NARRATIVE_SCENE,10.9,"Instagram dies Monday. WhatsApp Tuesday. VPN spins Wednesday and never connects. Phone screen becomes a mirror. Shows your face and nothing else."
PV_0019_024,90,91,2,PHASE_CONFLICT,NARRATIVE_SCENE,10.7,"When a government kills the internet it's not hiding information from the outside. It's building a wall around the inside."
PV_0019_025,92,97,6,PHASE_CONFLICT,NARRATIVE_SCENE,10.8,"Mother calls from neighbor's landline. Walked three blocks in slippers. Asks if you saw the news. There is no news. That is the news."
PV_0019_026,98,101,4,PHASE_CONFLICT,NARRATIVE_SCENE,10.2,"First airstrike hits twelve kilometers away. Vibration felt in your feet before sound. Glass of water on counter shakes. Then the sound."
PV_0019_027,102,106,5,PHASE_CONFLICT,NARRATIVE_SCENE,9.3,"Daughter wakes screaming. Wife grabs her. You grab the phone. No signal. Power cuts mid-grab."
PV_0019_028,107,110,4,PHASE_CONFLICT,NARRATIVE_SCENE,10.0,"In the dark your neighbor prays through the wall. Floor is cold. You didn't put on shoes. Don't remember standing up."
PV_0019_029,110b,110f,5,PHASE_CONFLICT,NARRATIVE_SCENE,9.2,"Something falls from the ceiling. Dust. Just dust. Wife whispers something you can't hear. Daughter's eyes wide open in the dark."
PV_0019_030,111,117,7,PHASE_CONFLICT,EMOTIONAL_CLOSEUP,8.1,"You count. One. Two. Three. If the next one is closer you move. This is the math now."
PV_0019_031,118,122,5,PHASE_CONFLICT,NARRATIVE_SCENE,10.6,"You don't pray. You count. Don't remember the last time you prayed. Or maybe you do. Just don't want to think about it."
PV_0019_032,123,126,4,PHASE_CONFLICT,NARRATIVE_SCENE,10.6,"You carry blankets and water and insulin and documents and one phone charger down the stairs. Plastic bag tears. Water bottle rolls. You leave it."
PV_0019_033,127,129,3,PHASE_CONFLICT,NARRATIVE_SCENE,7.6,"Daughter won't let go of the cat drawing. Carries it folded in her fist the entire night. Paper soft by morning."
PV_0019_034,130,134,5,PHASE_CONFLICT,NARRATIVE_SCENE,9.2,"Twelve families in the parking garage. Concrete floor. The smell. Engine oil and damp concrete and too many people. One battery radio."
PV_0019_035,135,137,3,PHASE_CONFLICT,NARRATIVE_SCENE,7.2,"A man you've never spoken to gives your daughter his jacket. You try to say thank you. He waves it off before you finish."
PV_0019_036,138,140,3,PHASE_CONFLICT,NARRATIVE_SCENE,8.5,"Someone brings bread they baked that morning. Nobody is in charge. Nobody needs to be."
PV_0019_037,141,143,3,PHASE_CONFLICT,NARRATIVE_SCENE,5.2,"Not military. Not government. Just people."
PV_0019_038,144,147,4,PHASE_CONFLICT,NARRATIVE_SCENE,10.3,"By the third night you stop asking if it's safe. Someone runs extension cord from generator two buildings over. Hum keeps children asleep. Keeps adults awake."
PV_0019_039,148,151,4,PHASE_CONFLICT,NARRATIVE_SCENE,8.5,"You try to explain it to someone once. Over the phone when it works for ten minutes. Words don't come out right. You stop trying."
PV_0019_040,152,156,5,PHASE_CONFLICT,NARRATIVE_SCENE,8.5,"After the strikes checkpoints go up on Hemmat. Men in uniforms patrol. Not to help. Not to evacuate. To watch."
PV_0019_041,157,161,5,PHASE_CONFLICT,NARRATIVE_SCENE,10.8,"A man taken because of a satellite dish. Comes back two days later. Says nothing about where he was. His wife doesn't ask. You don't either."
PV_0019_042,162,163,2,PHASE_CONFLICT,NARRATIVE_SCENE,7.2,"Your office shares a block with an IRGC logistics center behind a concrete wall with no sign."
PV_0019_043,164,166,3,PHASE_CONFLICT,NARRATIVE_SCENE,11.5,"You walked past it every morning for three years. Precision is a word that belongs to people who've never lived near the targets. From twelve kilometers away it's a strategy. From your kitchen it's the glass of water shaking."
PV_0019_044,167,170,4,PHASE_CONFLICT,TEXT_OVERLAY,8.9,"You're being bombed from above and controlled from within. The war is above you. The regime is around you. You are in between."
PV_0019_045,171,174,4,PHASE_CONFLICT,NARRATIVE_SCENE,7.6,"Your jaw is tight. Not sure when that started. Water comes two hours a day. You fill every container."
PV_0019_046,175,179,5,PHASE_CONFLICT,NARRATIVE_SCENE,5.0,"Pots. Buckets. The bathtub. Daughter's plastic pool from last summer. You count the bottles."
PV_0019_047,180,183,4,PHASE_CRISIS,NARRATIVE_SCENE,8.5,"Pharmacy. One remaining box of insulin. The man ahead says his son needs it. Your daughter is diabetic."
PV_0019_048,184,188,5,PHASE_CRISIS,NARRATIVE_SCENE,8.9,"You both know there won't be another shipment. The pharmacist looks at both of you. Says nothing. The fluorescent light buzzes. You notice that."
PV_0019_049,189,191,3,PHASE_CRISIS,NARRATIVE_SCENE,6.6,"You take the box. You say my daughter. Your voice doesn't sound like yours."
PV_0019_050,192,196,5,PHASE_CRISIS,NARRATIVE_SCENE,8.9,"The man doesn't argue. He just stands there. You walk out. The box is lighter than expected. You look back once."
PV_0019_051,197,197,1,PHASE_CRISIS,EMOTIONAL_CLOSEUP,6.2,"He is still standing at the counter."
PV_0019_052,198,201,4,PHASE_CRISIS,EMOTIONAL_CLOSEUP,8.4,"That night your daughter sleeps. Cat drawing still in her fist. You sit in the dark. You don't sleep."
PV_0019_053,202,205,4,PHASE_CRISIS,NARRATIVE_SCENE,8.6,"Your hands are shaking. You press them flat against your knees. They stop. Then they start again."
PV_0019_054,206,211,6,PHASE_CRISIS,NARRATIVE_SCENE,8.9,"Apartment across the hall goes dark. Not a power cut. The family left. No goodbye. No forwarding address. Just a door that stays closed."
PV_0019_055,212,214,3,PHASE_CRISIS,NARRATIVE_SCENE,5.1,"You walk past it every morning. You don't knock. You already know."
PV_0019_056,215,216,2,PHASE_CRISIS,NARRATIVE_SCENE,6.4,"Borders close. Price of bus seat to Turkey triples overnight. Then triples again."
PV_0019_057,217,220,4,PHASE_CRISIS,NARRATIVE_SCENE,8.5,"Colleague sold apartment for a third of its value. You calculate. Two seats. Not three."
PV_0019_058,220b,220e,4,PHASE_CRISIS,NARRATIVE_SCENE,7.4,"You could sell the apartment. But who is buying in a city being bombed. You do the math again. Same answer."
PV_0019_059,221,224,4,PHASE_CRISIS,NARRATIVE_SCENE,8.1,"Wife won't leave without you. You won't leave without mother. Mother says she's too old. Nobody leaves."
PV_0019_060,225,225,1,PHASE_CRISIS,TEXT_OVERLAY,4.7,"The math is always one person short."
PV_0019_061,226,228,3,PHASE_CRISIS,NARRATIVE_SCENE,7.6,"Bread queue at five AM. By seven it wraps around the block. Faces lit by phone screens checking for signal."
PV_0019_062,229,231,3,PHASE_CRISIS,NARRATIVE_SCENE,6.3,"Woman ahead has two children on her arms. Nobody helps her. You don't help her either."
PV_0019_063,232,237,6,PHASE_CRISIS,NARRATIVE_SCENE,7.2,"Baker comes out. No more flour. Queue dissolves. Nobody riots. Nobody shouts. Everyone walks home with empty bags."
PV_0019_064,238,239,2,PHASE_CRISIS,NARRATIVE_SCENE,5.6,"No one checks their phone anymore. There's nothing to check."
PV_0019_065,239b,239f,4,PHASE_CRISIS,NARRATIVE_SCENE,10.4,"Eggs five times last month. Aspirin gone from every shelf. Man sells gasoline from plastic jugs. You count what's left."
PV_0019_066,240,242,3,PHASE_CRISIS,NARRATIVE_SCENE,8.7,"Internet comes back for thirty minutes. Cousin in Canada calls. She's crying. She says the whole world is watching."
