Clip_ID,Source_Strip,Start_VO_ID,End_VO_ID,Duration_Sec,Camera_Movement,Animation_Note,Veo_Prompt
PV_0014_C001,PV_0014_001,1,2,8.8,SLOW_ZOOM_IN,"Hands remain still, slight finger tension on desk edge - minimal movement","First-person POV of glowing laptop screen showing massive dollar figure in dark room. Multiple monitors in peripheral darkness. Slow, gentle zoom in toward screen, 10% zoom over full duration. Hands remain still, slight finger tension on desk edge. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 8.8 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C002,PV_0014_002,3,5,9.8,SLOW_ZOOM_IN,"Stickman with curly hair stands still, chin slightly raised, breathing gently - minimal movement","Tall stickman with wild curly hair in oversized T-shirt and cargo shorts standing before massive glowing screen in dark room, chin raised in validation pose. Slow, gentle zoom in toward subject, 10% zoom over full duration. Stickman stands still, chin slightly raised, breathing gently. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 9.8 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C003,PV_0014_003,6,7,10.2,SLOW_ZOOM_IN,"Hands tremble slightly, fingers curling inward - creeping perspective","First-person POV of dark room with digital countdown clock in bright red. Notification alerts appearing on surrounding screens. Slow, gentle zoom in toward countdown, 10% zoom over full duration. Hands tremble slightly, fingers curling inward. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 10.2 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C004,PV_0014_004,8,8,3.8,STATIC,"Text fades in - otherwise static","Dark charcoal background with bold white text centered. Tiny stickman silhouette bottom-right. Fixed camera, no movement. Text fades in. Minimalist typography animation, flat design. Duration: 3.8 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C005,PV_0014_005,9,11,9.3,SLOW_ZOOM_IN,"Hands remain still on defendant table surface - minimal movement","First-person POV of grand federal courtroom with dark wood paneling, elevated judge bench, American flag. Harsh white fluorescent lighting. Slow, gentle zoom in toward judge bench, 10% zoom over full duration. Hands remain still on defendant table surface. Minimalist stickman animation, flat illustration style, semi-realistic painted courtroom. Duration: 9.3 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C006,PV_0014_006,12,14,9.2,SLOW_PAN_RIGHT,"Stickman at podium shifts weight slightly, faceless senators nod occasionally","Tall stickman with wild curly hair in cargo shorts at congressional podium. Faceless suited figures at elevated committee desks. Grand hearing room with marble columns. Slow horizontal pan right, steady pace. Stickman at podium shifts weight, senators nod occasionally. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 9.2 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C007,PV_0014_007,15,16,5.6,SLOW_PAN_RIGHT,"Stickman walks casually through corridor, faceless figures watch from sides","Tall stickman with wild curly hair in cargo shorts walking through ornate government corridor. Faceless suited figures watching from sides. Marble floor, brass fixtures. Slow horizontal pan right, steady pace. Stickman walks casually, faceless figures watch. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 5.6 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C008,PV_0014_008,17,17,6.2,STATIC,"Text fades in line by line - otherwise static","Dark navy blue background with bold white text centered. Tiny stickman silhouette bottom-right. Fixed camera, no movement. Text fades in line by line. Minimalist typography animation, flat design. Duration: 6.2 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C009,PV_0014_009,18,19,6.6,STATIC,"Text fades in - main line first, secondary line follows - otherwise static","Black background with bold red-orange text and smaller white secondary line. Tiny stickman silhouette bottom-right. Fixed camera, no movement. Text fades in, main line first, secondary follows. Minimalist typography animation, flat design. Duration: 6.6 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C010,PV_0014_010,20,24,7.8,SLOW_PAN_RIGHT,"Child stickman walks along campus path carrying books, trees sway gently","Short child stickman with small curly hair walking along tree-lined campus path carrying books. Faculty housing and autumn trees. Slow horizontal pan right, steady pace. Child walks along path, trees sway gently. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 7.8 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C011,PV_0014_011,25,28,9.7,SLOW_ZOOM_IN,"Child stickman looks between two parent figures at dinner table, slight head turns","Short child stickman between two faceless professor parents at dinner table with books on shelves. Slow, gentle zoom in toward family scene, 10% zoom over full duration. Child looks between parents with slight head turns. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 9.7 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C012,PV_0014_012,29,31,10.7,SLOW_PAN_RIGHT,"Child stickman at front desk arms folded, other stickmen still writing behind","Short child stickman at front desk with finished test, arms folded. Faceless children still writing behind. Elementary classroom. Slow horizontal pan right, steady pace. Child sits still, others write behind. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 10.7 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0014_C013,PV_0014_013,32,34,10.6,SLOW_ZOOM_IN,"Child stickman reads textbook, teacher turns away with arms crossed","Short child stickman reading textbook at desk while faceless teacher turns away with arms crossed. Classroom with equations on chalkboard. Slow, gentle zoom in toward subject, 10% zoom over full duration. Child reads, teacher turns away. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 10.6 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
